"key","en_value","de_value","fr_value","ru_value","it_value","nl_value","pl_value"
"en.time.formats.day_nr","%d.","%d.","%d.","%d.","%d.","%d.","%d."
"en.time.formats.daydate","%d.%m.%Y","%d.%m.%Y","%d.%m.%Y","%d.%m.%Y","%d.%m.%Y","%d.%m.%Y","%d.%m.%Y"
"en.time.formats.default","%d.%m.%Y, %H:%M","%d.%m.%Y, %H:%M","%d.%m.%Y, %H:%M","%d.%m.%Y, %H:%M","%d.%m.%Y, %H:%M","%d.%m.%Y, %H:%M","%d.%m.%Y, %H:%M"
"en.date.formats.default","%d.%m.%Y","%d.%m.%Y","%d.%m.%Y","%d.%m.%Y","%d.%m.%Y","%d.%m.%Y","%d.%m.%Y"
"en.layouts.navigation.sign_out","Sign out","Abmelden","se déconnecter","Выйти","Disconnettiti","Afmelden","Wyloguj się"
"en.search.lookup.intro","How to map: Search an address with the field above by adding your home city name.","Wie in Weltkarte eintragen: Mit obigem Feld Adresse suchen durch Hinzufügung des Namens Ihres Heimatortes","Comment vous localiser: recherchez une adresse avec le champ ci-dessus en ajoutant le nom de votre ville de résidence.","Как пользоваться картой: Найдите адрес с помощью поля выше, предварительно введя название вашего города","Come fare la mappa: Cerca un indirizzo utilizzando il campo qui sopra aggiungendo il nome della tua città.","Plaats zoeken door hierboven de naam van uw woonplaats in te voeren","Wpisz swoje miejsce zamieszkania"
"en.search.lookup.address","Address:","Adresse:","adresse:","Адрес:","Indirizzo","Adres","Adres:"
"en.search.lookup.no_input","<strong>No input!</strong> Please type in a complete address ('Street Number, City')","Keine Eingabe! Bitte vollständige Adresse eingeben (Straße, Hausnummer, Ort)!","Veuillez saisir une adresse complète (numéro de rue, ville)","<strong>Необходимо заполнить поле!</strong> Пожалуйста, введите полный адрес (""улица номер дома, город"")","Si prega di digitare un indirizzo completo ('numero civico, città')","<strong>Invoer ontbreekt</strong> Voer s.v.p. een volledig adres in ('Straat Nummer, Plaats')","<strong>Brak wkładu.</strong>  Wpisz dokładny adres (numer ulicy, miasto)"
"en.search.lookup.too_short","<strong>Input too short.</strong> Please type in a complete address ('Street Number, City')","Eingabe zu kurz! Bitte vollständige Adresse eingeben (Straße, Hausnummer, Ort)!","Veuillez saisir une adresse complète (numéro de rue, ville)","<strong>Текст слишком короткий!</strong> Пожалуйста, введите полный адрес (""улица номер дома, город"")","Si prega di digitare un indirizzo completo  ('numero civico, città')","<strong>Invoer onvolledig</strong> Voer s.v.p. een volledig adres in ('Straat Nummer, Plaats')","<strong>Za krótki wkład.</strong> Wpisz dokładny adres (numer ulicy, miasto)"
"en.search.lookup.no_result","Nothing found. Please try another adress!  (Type 'Street Number, City')","Nichts gefunden. Bitte mit anderer Adresse versuchen (Straße, Hausnummer, Ort eingeben)!","Rien n'a été trouvé. Veuillez essayer une autre adresse! (numéro de rue, ville)","Не найдено! Пожалуйста, попробуйте ввести другой адрес (в формате ""улица номер дома, город"")","Non abbiamo trovato nulla. Prova un altro indirizzo! (digita ""numero civico, città"")","Niets gevonden. Probeer s.v.p. een ander adres!  (Invoer 'Straat Nummer, Plaats')","Nie znaleziono! Proszę podać inny adres (wpisz numer domu i miejscowość)"
"en.search.lookup.success_result","Please select one result below (or type in another address).","Bitte ein Ergebnis unten auswählen (oder andere Adresse eingeben)!","Veuillez sélectionner un résultat ci-dessous (ou saisir une autre adresse).","Пожалуйста, выберите один из результатов ниже (или введите другой адрес). ","Seleziona un risultato qui sotto (o digita un altro indirizzo).","Kies s.v.p. een van de onderstaande resultaten (of voer een ander adres in).","Proszę wybrać jeden z poniższych wyników (lub wpisać inny adres)."
"en.activerecord.messages.models.submission.created","Your data has been saved (Step 1).","Ihre Daten sind gespeichert (Schritt 1).","Vos données ont été enregistrées (étape 1).","Ваша информация сохранена (Шаг 1)","I tuoi dati sono stati salvati (passo 1)","Uw gegevens zijn ingevoerd (Stap 1)","Twoje dane zostały zapisane (krok 1)"
"en.activerecord.messages.models.place.created","Your data has been saved (Step 2).","Ihre Daten sind gespeichert (Schritt 2).","Vos données ont été enregistrées (étape 2).","Ваша информация сохранена (Шаг 2)","I tuoi dati sono stati salvati (passo 2)","Uw gegevens zijn ingevoerd (Stap 2)","Twoje dane zostały zapisane (krok 2)"
"en.activerecord.messages.models.image.created","Your contribution has been saved.","Ihr Beitrag ist gespeichert.","Votre contribution a été enregistrée.","Ваша публикация сохранена.","Il tuo contributo è stato salvato","Uw bijdrage is opgeslagen","Wpis został zapisany."
"en.activerecord.errors.models.submission.attributes.name.blank","Name can't be blank","Eingabe des Namen ist erforderlich","La saisie du nom est obligatoire","Пожалуйста, введите имя.","È necessario mettere il nome","Voer s.v.p. een naam in","Podanie imienia i nazwiska jest obowiązkowe."
"en.activerecord.errors.models.image.attributes.title.blank","Image description can not be blank","Bildbeschreibung erforderlich.","Description de l'image requise","Пожалуйста, добавьте описание изображения.","È richiesta la descrizione dell'immagine.","Geef s.v.p. een beschrijving van de afbeelding aan","Wymagany opis zdjęcia."
"en.errors.format","%{attribute} %{message}","%{attribute} %{message}",,"%{attribute} %{message}",,,
"en.errors.messages.accepted","must be accepted","Zustimmung erforderlich","Consentement requis","Необходимо подтверждение","È necessario il tuo consenso","Toestemming vereist","Zgoda obowiązkowa"
"en.errors.messages.blank","can't be blank","Pflichtfeld","champ requis","Обязательное поле","Campo obbligatorio","Verplicht","Obowiązkowe"
"en.errors.messages.present","can't be filled","Dieses Feld bleibt frei","ce champ reste vide","Это поле остаётся пустым","Questo spazio resta vuoto","Geen invoer mogelijk","Pozostaje wolne."
"en.errors.messages.inclusion","must be accepted","Zustimmung erforderlich","Consentement requis","Необходимо подтверждение","È necessario il tuo consenso","Toestemming vereist","Zgoda obowiązkowa"
"de.activerecord.errors.models.submission.attributes.email.taken","E-Mail is already taken.","E-Mail bereits verwendet","adresse e-Mail déjà utilisée","E-Mail адрес уже используется",,"Email adres al in gebruik","Adres E-mail już użyty"
